pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
3.00,165.00,-271196.75,
3.00,168.00,-276127.59,
8.25,165.00,-271196.75,
3.00,168.00,-207095.71,
8.25,166.00,-272840.37,
3.75,176.00,-289276.53,
8.25,167.00,-274484.00,
3.75,169.00,-416656.81,
3.75,168.00,-414191.40,
8.25,169.00,-416656.81,
3.75,168.00,-414191.40,
9.00,169.00,-277771.21,
5.25,177.00,-436380.21,
29.25,175.00,-431449.37,
23.25,178.00,-438845.65,
24.00,180.00,-295851.00,
29.25,184.00,-302425.46,
23.25,186.00,-305712.71,
28.50,189.00,-310643.56,
23.25,198.00,-244077.09,
28.50,193.00,-475827.03,
23.25,194.00,-478292.43,
23.25,197.00,-485688.71,
28.50,197.00,-485688.71,
22.50,200.00,-493085.00,
28.50,199.00,-327079.71,
22.50,212.00,-348446.75,
28.50,202.00,-249007.93,
22.50,206.00,-338585.03,
22.50,205.00,-336941.43,
27.75,208.00,-512808.40,
22.50,207.00,-510342.96,
27.75,209.00,-515273.81,
22.50,218.00,-537462.62,
27.75,211.00,-520204.68,
22.50,211.00,-260102.35,
22.50,213.00,-350090.37,
28.50,232.00,-381319.06,
22.50,224.00,-368170.15,
27.75,231.00,-379675.46,
21.75,240.00,-591702.00,
27.75,231.00,-569513.18,
27.00,228.00,-562116.87,
21.75,231.00,-569513.18,
27.75,228.00,-562116.87,
21.75,238.00,-391180.78,
27.75,227.00,-373101.00,
21.75,238.00,-391180.78,
27.00,227.00,-373101.00,
27.00,227.00,-373101.00,
21.75,227.00,-373101.00,
27.00,226.00,-557186.06,
21.75,237.00,-584305.75,
27.00,226.00,-557186.06,
21.75,238.00,-586771.12,
27.00,226.00,-557186.06,
