pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
0.00,62.00,-1537.49,
0.00,54.00,-1315.86,
0.00,58.00,-1438.29,
0.00,64.00,-1587.08,
0.00,57.00,-1413.49,
0.00,49.00,-1215.11,
0.00,52.00,-1267.13,
0.00,58.00,-1413.33,
0.00,54.00,-1315.86,
0.00,45.00,-1077.85,
0.00,47.00,-1165.51,
0.00,53.00,-1314.30,
0.00,51.00,-1264.71,
0.00,42.00,-1041.52,
0.00,43.00,-1047.82,
0.00,51.00,-1264.71,
0.00,49.00,-1215.11,
0.00,41.00,-1016.72,
0.00,40.00,-974.71,
0.00,46.00,-1101.80,
0.00,48.00,-1169.66,
0.00,40.00,-991.93,
0.00,36.00,-892.73,
0.00,43.00,-1066.32,
0.00,46.00,-1120.92,
0.00,39.00,-967.13,
0.00,35.00,-867.94,
0.00,40.00,-991.93,
0.00,45.00,-1096.55,
0.00,39.00,-934.14,
0.00,33.00,-804.14,
0.00,38.00,-910.18,
0.00,44.00,-1091.12,
0.00,40.00,-991.93,
0.00,32.00,-793.54,
0.00,35.00,-867.94,
0.00,42.00,-1023.45,
0.00,40.00,-991.93,
0.00,33.00,-818.34,
0.00,33.00,-804.14,
0.00,41.00,-999.08,
0.00,41.00,-999.08,
0.00,33.00,-818.34,
0.00,32.00,-779.77,
0.00,39.00,-967.13,
0.00,42.00,-1023.45,
0.00,35.00,-867.94,
0.00,31.00,-768.74,
0.00,38.00,-942.33,
0.00,43.00,-1066.32,
0.00,36.00,-862.28,
0.00,31.00,-755.40,
0.00,37.00,-901.61,
0.00,42.00,-1041.52,
0.00,38.00,-942.33,
0.00,32.00,-793.54,
0.00,35.00,-867.94,
0.00,42.00,-1023.45,
0.00,40.00,-991.93,
0.00,32.00,-793.54,
0.00,33.00,-818.34,
0.00,41.00,-999.08,
0.00,42.00,-1023.45,
0.00,34.00,-828.51,
0.00,33.00,-804.14,
0.00,40.00,-991.93,
0.00,43.00,-1066.32,
0.00,37.00,-917.53,
0.00,32.00,-793.54,
0.00,38.00,-925.98,
0.00,44.00,-1091.12,
0.00,39.00,-950.35,
