pressure_mmHg,sensVal,waveAmplitude,
pressure_mmHg, sensVal, waveAmplitude,
12.75,376,-9324.11,
12.75,377,-9348.9,
12.75,373,-9089.2,
12.75,371,-9040.46,
9,371,-8886.26,
0,369,-9150.52,
0,363,-9001.73,
0,358,-8723.68,
0,358,-8877.74,
0,356,-8828.14,
0,351,-8553.11,
0,347,-8604.96,
0,346,-8431.27,
0,346,-8287.46,
0,341,-8309.43,
0,336,-8332.18,
0,335,-8163.22,
0,335,-8307.38,
0,331,-8208.19,
0,325,-7919.54,
0,325,-8059.4,
0,325,-8059.4,
0,322,-7712.61,
0,317,-7724.6,
0,315,-7675.87,
0,317,-7592.85,
0,314,-7786.62,
0,308,-7637.83,
0,306,-7456.56,
0,307,-7613.03,
0,308,-7637.83,
0,298,-7261.61,
0,294,-7290.66,
0,304,-7407.82,
0,299,-7161.71,
0,294,-7164.14,
0,292,-7241.06,
0,296,-7212.88,
8.25,298,-7389.85,
0,293,-7265.86,
0,290,-7066.67,
0,294,-7290.66,
4.5,294,-7290.66,
0,290,-7066.67,
0,287,-6993.57,
0,288,-7017.93,
0,290,-7191.46,
0,288,-7141.87,
0,283,-7017.88,
0,284,-7042.68,
0,286,-7092.27,
0,282,-6993.08,
0,278,-6893.89,
0,280,-6943.48,
3,283,-6896.1,
0,280,-6822.99,
0,275,-6701.15,
0,275,-6819.49,
0,278,-6893.89,
0,276,-6844.29,
0,271,-6720.3,
0,270,-6695.5,
0,272,-6745.1,
0,272,-6745.1,
0,267,-6506.21,
0,266,-6481.84,
0,268,-6530.58,
0,268,-6645.91,
0,264,-6546.71,
0,261,-6472.32,
0,262,-6497.12,
0,263,-6521.91,
0,259,-6422.72,
0,256,-6348.33,
0,258,-6397.92,
0,258,-6286.9,
0,256,-6238.16,
0,252,-6140.69,
0,253,-6273.93,
0,254,-6298.73,
0,252,-6249.13,
0,248,-6149.94,
0,249,-6174.74,
0,251,-6224.34,
0,249,-6174.74,
0,243,-5820.38,
0,246,-5994.49,
0,251,-6116.33,
0,250,-6091.96,
0,243,-6025.95,
0,243,-6025.95,
0,246,-5994.49,
0,246,-6100.35,
0,239,-5926.76,
0,235,-5726.44,
0,252,-6140.69,
0,246,-5994.49,
0,232,-5556.91,
0,235,-5827.57,
0,245,-6075.55,
0,241,-5872.65,
0,228,-5653.98,
0,234,-5802.77,
0,243,-5921.38,
0,237,-5877.16,
0,230,-5703.58,
0,230,-5509.01,
0,237,-5775.18,
0,235,-5726.44,
0,232,-5653.34,
0,229,-5678.78,
0,230,-5703.58,
0,232,-5653.34,
0,229,-5678.78,
0,226,-5604.38,
0,227,-5629.18,
0,228,-5555.87,
0,227,-5531.5,
0,223,-5434.03,
0,223,-5529.99,
0,225,-5579.58,
0,224,-5554.79,
0,221,-5480.39,
0,221,-5480.39,
0,222,-5505.19,
0,221,-5480.39,
0,218,-5406,
0,218,-5312.19,
0,219,-5336.55,
0,219,-5336.55,
0,216,-5356.4,
0,215,-5331.6,
0,216,-5263.45,
0,216,-5356.4,
0,213,-5282.01,
0,212,-5165.98,
0,213,-5282.01,
0,213,-5190.35,
0,210,-5029.96,
0,208,-5068.51,
0,210,-5207.61,
0,210,-5117.24,
0,208,-5158.02,
0,206,-5108.42,
0,206,-5019.77,
0,207,-5133.22,
0,205,-5083.62,
0,203,-4862.3,
0,204,-4971.04,
0,205,-4995.41,
0,202,-4838.34,
0,200,-4959.63,
0,201,-4984.43,
0,202,-5009.23,
0,200,-4959.63,
0,197,-4885.24,
0,198,-4910.03,
0,199,-4934.83,
0,198,-4824.83,
0,195,-4751.73,
0,195,-4751.73,
0,197,-4885.24,
0,195,-4835.64,
0,193,-4786.04,
0,193,-4786.04,
0,194,-4810.84,
0,193,-4786.04,
0,191,-4736.45,
0,190,-4629.89,
0,192,-4678.62,
0,191,-4654.26,
0,189,-4605.52,
0,188,-4662.05,
0,190,-4711.65,
0,190,-4711.65,
0,187,-4637.25,
0,186,-4612.46,
0,188,-4662.05,
0,188,-4662.05,
0,186,-4455.11,
0,184,-4483.68,
0,186,-4532.42,
0,187,-4556.78,
0,185,-4587.66,
0,183,-4538.06,
0,185,-4508.05,
0,186,-4612.46,
0,184,-4562.86,
0,183,-4459.31,
0,184,-4483.68,
0,185,-4508.05,
0,184,-4407.2,
0,182,-4513.26,
0,183,-4538.06,
0,185,-4508.05,
0,183,-4538.06,
0,182,-4513.26,
0,183,-4538.06,
0,185,-4587.66,
0,183,-4538.06,
0,182,-4434.95,
