pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
15.00,640.00,-1577872.00,
15.00,641.00,-1053558.37,
15.00,641.00,-1580337.37,
14.25,641.00,-1053558.37,
15.00,640.00,-1577872.00,
15.00,641.00,-1053558.37,
15.00,641.00,-1053558.37,
15.00,641.00,-1580337.37,
15.00,640.00,-1051914.75,
15.00,641.00,-1580337.37,
15.00,640.00,-788936.06,
15.00,640.00,-1577872.00,
15.00,640.00,-1051914.75,
15.00,641.00,-1580337.37,
15.00,640.00,-1577872.00,
15.00,640.00,-1051914.75,
15.00,640.00,-1577872.00,
15.00,640.00,-1051914.75,
15.00,640.00,-1577872.00,
14.25,640.00,-1051914.75,
14.25,640.00,-1577872.00,
14.25,640.00,-1051914.75,
14.25,640.00,-1577872.00,
14.25,640.00,-1051914.75,
14.25,640.00,-1051914.75,
14.25,639.00,-1575406.62,
14.25,639.00,-1050271.12,
14.25,640.00,-1577872.00,
14.25,639.00,-1050271.12,
14.25,639.00,-1575406.62,
14.25,639.00,-1575406.62,
14.25,639.00,-1050271.12,
14.25,639.00,-1575406.62,
14.25,639.00,-1050271.12,
14.25,639.00,-1575406.62,
14.25,639.00,-1050271.12,
14.25,638.00,-786470.62,
14.25,639.00,-1575406.62,
14.25,638.00,-1048627.50,
14.25,638.00,-1572941.12,
14.25,638.00,-1048627.50,
14.25,638.00,-1572941.12,
14.25,638.00,-1572941.12,
14.25,637.00,-1046983.87,
14.25,637.00,-1570475.75,
13.50,638.00,-1048627.50,
13.50,637.00,-1570475.75,
13.50,637.00,-1046983.87,
13.50,637.00,-1570475.75,
13.50,636.00,-1045340.25,
13.50,636.00,-1045340.25,
13.50,636.00,-1568010.25,
13.50,636.00,-1045340.25,
13.50,635.00,-1565544.87,
13.50,635.00,-1043696.62,
12.75,635.00,-1565544.87,
12.75,634.00,-1563079.50,
12.75,634.00,-1042053.00,
12.75,634.00,-1563079.50,
12.75,634.00,-1042053.00,
12.75,633.00,-1560614.00,
12.75,633.00,-1040409.37,
12.75,633.00,-1040409.37,
12.75,632.00,-1558148.62,
12.75,632.00,-1038765.75,
12.75,632.00,-1558148.62,
12.75,632.00,-1038765.75,
12.75,631.00,-1555683.12,
12.75,631.00,-1037122.12,
12.75,631.00,-1037122.12,
12.75,630.00,-1553217.75,
12.75,630.00,-1035478.50,
12.75,629.00,-1550752.37,
12.75,630.00,-1035478.50,
12.75,629.00,-1550752.37,
12.75,628.00,-774143.50,
12.75,629.00,-1550752.37,
12.75,628.00,-1548286.87,
12.75,628.00,-1032191.31,
12.75,628.00,-1548286.87,
12.75,627.00,-1030547.68,
12.75,627.00,-1545821.50,
12.75,627.00,-1030547.68,
12.75,627.00,-1030547.68,
12.75,626.00,-1543356.00,
12.75,626.00,-1028904.06,
12.75,626.00,-1543356.00,
12.75,626.00,-1028904.06,
12.75,625.00,-1027260.43,
12.75,625.00,-1027260.43,
