pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
9.00,394.00,-647585.00,
9.00,397.00,-652515.81,
9.00,398.00,-981239.12,
9.00,395.00,-973842.87,
9.00,398.00,-654159.43,
9.00,399.00,-655803.06,
9.00,397.00,-978773.75,
9.00,399.00,-983704.56,
9.00,400.00,-657446.68,
9.00,399.00,-983704.56,
9.00,399.00,-983704.56,
9.00,401.00,-659090.31,
9.00,401.00,-659090.31,
9.00,400.00,-986170.00,
9.00,402.00,-991100.87,
9.00,402.00,-660733.93,
9.00,401.00,-659090.31,
9.00,403.00,-993566.25,
9.00,404.00,-996031.68,
9.00,401.00,-659090.31,
9.00,404.00,-664021.12,
