pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
15.00,517.00,-849749.81,
15.00,517.00,-849749.81,
15.00,521.00,-1284486.37,
15.00,518.00,-851393.43,
15.00,518.00,-851393.43,
15.00,518.00,-1277090.12,
15.00,519.00,-853037.06,
15.00,519.00,-853037.06,
15.00,518.00,-1277090.12,
15.00,518.00,-851393.43,
15.00,519.00,-853037.06,
15.00,518.00,-1277090.12,
15.00,519.00,-853037.06,
15.00,519.00,-853037.06,
15.00,516.00,-1272159.25,
15.00,519.00,-853037.06,
15.00,519.00,-853037.06,
15.00,519.00,-1279555.62,
15.00,519.00,-853037.06,
15.00,520.00,-854680.68,
15.00,520.00,-1282021.00,
15.00,519.00,-853037.06,
14.25,519.00,-853037.06,
14.25,520.00,-1282021.00,
14.25,520.00,-1282021.00,
14.25,520.00,-854680.68,
14.25,522.00,-1286951.87,
14.25,520.00,-854680.68,
14.25,520.00,-854680.68,
14.25,520.00,-1282021.00,
14.25,520.00,-854680.68,
14.25,520.00,-854680.68,
14.25,520.00,-1282021.00,
14.25,521.00,-1284486.37,
14.25,520.00,-854680.68,
14.25,520.00,-1282021.00,
14.25,521.00,-856324.31,
14.25,521.00,-856324.31,
15.00,522.00,-1286951.87,
14.25,521.00,-856324.31,
14.25,520.00,-854680.68,
14.25,521.00,-1284486.37,
14.25,521.00,-856324.31,
15.00,521.00,-856324.31,
14.25,521.00,-1284486.37,
15.00,518.00,-851393.43,
15.00,521.00,-856324.31,
14.25,521.00,-1284486.37,
15.00,521.00,-856324.31,
14.25,522.00,-857967.93,
15.00,522.00,-857967.93,
14.25,521.00,-856324.31,
14.25,522.00,-857967.93,
14.25,522.00,-857967.93,
15.00,522.00,-857967.93,
15.00,522.00,-857967.93,
15.00,522.00,-857967.93,
14.25,526.00,-1296813.50,
14.25,522.00,-857967.93,
14.25,522.00,-1286951.87,
15.00,522.00,-857967.93,
14.25,522.00,-857967.93,
14.25,523.00,-1289417.25,
14.25,522.00,-857967.93,
14.25,522.00,-857967.93,
14.25,522.00,-1286951.87,
14.25,522.00,-857967.93,
14.25,522.00,-857967.93,
14.25,522.00,-1286951.87,
13.50,522.00,-857967.93,
13.50,522.00,-857967.93,
13.50,522.00,-1286951.87,
13.50,522.00,-857967.93,
12.75,521.00,-856324.31,
12.75,521.00,-1284486.37,
12.75,521.00,-856324.31,
12.00,519.00,-853037.06,
11.25,519.00,-1279555.62,
6.75,518.00,-851393.43,
3.00,516.00,-848106.25,
2.25,514.00,-1267228.50,
2.25,514.00,-1267228.50,
2.25,512.00,-841531.75,
2.25,510.00,-1257366.75,
2.25,509.00,-1254901.37,
2.25,507.00,-833313.68,
2.25,506.00,-831670.06,
2.25,504.00,-1242574.25,
2.25,505.00,-830026.43,
3.00,502.00,-825095.56,
3.00,500.00,-1232712.50,
3.00,499.00,-1230247.12,
3.00,498.00,-818521.12,
3.00,499.00,-1230247.12,
3.75,496.00,-1222850.75,
3.75,496.00,-815233.87,
5.25,494.00,-811946.68,
6.75,494.00,-1217920.00,
6.75,494.00,-811946.68,
6.75,493.00,-810303.06,
6.75,493.00,-1215454.50,
6.75,492.00,-1212989.12,
6.75,491.00,-807015.81,
6.75,490.00,-1208058.25,
6.75,490.00,-1208058.25,
6.75,488.00,-802084.93,
6.75,489.00,-803728.56,
7.50,488.00,-1203127.37,
7.50,488.00,-802084.93,
7.50,488.00,-802084.93,
8.25,488.00,-1203127.37,
9.00,487.00,-1200662.00,
9.00,487.00,-800441.31,
9.00,487.00,-1200662.00,
9.00,486.00,-1198196.50,
9.00,486.00,-798797.75,
9.75,486.00,-798797.75,
9.75,488.00,-802084.93,
9.75,486.00,-1198196.50,
10.50,485.00,-797154.12,
10.50,486.00,-798797.75,
10.50,486.00,-1198196.50,
11.25,486.00,-798797.75,
11.25,486.00,-798797.75,
11.25,486.00,-1198196.50,
11.25,486.00,-798797.75,
11.25,485.00,-1195731.12,
11.25,486.00,-1198196.50,
11.25,486.00,-798797.75,
11.25,487.00,-1200662.00,
11.25,486.00,-1198196.50,
12.00,486.00,-798797.75,
12.00,487.00,-1200662.00,
12.75,486.00,-1198196.50,
12.75,488.00,-802084.93,
12.75,487.00,-1200662.00,
13.50,487.00,-1200662.00,
14.25,488.00,-802084.93,
14.25,489.00,-1205592.87,
14.25,489.00,-803728.56,
14.25,489.00,-803728.56,
14.25,491.00,-1210523.62,
14.25,490.00,-805372.18,
14.25,490.00,-805372.18,
14.25,491.00,-1210523.62,
14.25,491.00,-807015.81,
14.25,491.00,-807015.81,
14.25,492.00,-1212989.12,
14.25,496.00,-815233.87,
14.25,493.00,-810303.06,
14.25,493.00,-1215454.50,
14.25,493.00,-810303.06,
14.25,494.00,-811946.68,
14.25,495.00,-1220385.37,
15.00,495.00,-813590.25,
17.25,496.00,-815233.87,
19.50,496.00,-1222850.75,
18.75,498.00,-818521.12,
18.75,499.00,-820164.75,
18.75,499.00,-1230247.12,
18.75,498.00,-818521.12,
18.75,501.00,-823452.00,
18.75,502.00,-1237643.37,
18.75,503.00,-826739.18,
18.75,505.00,-830026.43,
18.75,505.00,-1245039.62,
18.75,505.00,-830026.43,
18.75,507.00,-833313.68,
18.75,507.00,-1249970.50,
18.75,508.00,-834957.31,
18.75,509.00,-836600.93,
18.75,509.00,-1254901.37,
18.75,511.00,-839888.12,
18.75,511.00,-839888.12,
18.75,512.00,-1262297.62,
18.75,512.00,-841531.75,
18.75,513.00,-843175.37,
18.75,514.00,-1267228.50,
18.75,515.00,-634847.00,
19.50,518.00,-851393.43,
19.50,517.00,-1274624.75,
19.50,517.00,-637312.43,
20.25,518.00,-851393.43,
21.75,519.00,-1279555.62,
21.00,521.00,-642243.25,
21.00,521.00,-856324.31,
21.00,522.00,-1286951.87,
21.00,523.00,-644708.68,
21.00,524.00,-861255.18,
21.00,525.00,-1294348.12,
21.00,526.00,-864542.37,
21.00,529.00,-869473.25,
21.00,527.00,-1299279.00,
21.00,529.00,-869473.25,
21.00,530.00,-871116.87,
21.00,530.00,-1306675.25,
21.00,531.00,-872760.50,
21.00,532.00,-874404.06,
21.00,533.00,-1314071.50,
21.00,533.00,-1314071.50,
21.00,534.00,-877691.31,
21.00,535.00,-1319002.37,
21.00,536.00,-1321467.75,
21.00,539.00,-885909.43,
21.00,538.00,-1326398.62,
