pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
21.75,618.00,-1015755.12,
21.00,618.00,-1523632.62,
20.25,619.00,-1526098.12,
20.25,619.00,-1017398.75,
20.25,619.00,-1526098.12,
20.25,620.00,-1019042.37,
21.00,620.00,-1019042.37,
21.00,620.00,-1528563.50,
20.25,620.00,-1019042.37,
21.00,620.00,-1528563.50,
21.00,621.00,-1531028.87,
21.00,621.00,-1020686.00,
20.25,621.00,-1531028.87,
20.25,621.00,-1531028.87,
20.25,610.00,-1002606.18,
20.25,621.00,-1531028.87,
20.25,622.00,-1022329.62,
20.25,621.00,-1020686.00,
20.25,617.00,-1521167.25,
20.25,622.00,-1022329.62,
20.25,622.00,-1533494.37,
20.25,622.00,-1533494.37,
20.25,622.00,-1022329.62,
20.25,623.00,-1535959.75,
20.25,623.00,-1023973.18,
21.00,623.00,-1023973.18,
21.00,616.00,-1518701.75,
21.00,623.00,-1023973.18,
21.00,624.00,-1538425.25,
21.00,623.00,-1535959.75,
21.00,608.00,-999318.93,
21.00,624.00,-1538425.25,
21.00,624.00,-1538425.25,
21.00,625.00,-1027260.43,
21.00,625.00,-1540890.62,
21.00,625.00,-1027260.43,
21.75,625.00,-1027260.43,
21.75,626.00,-1543356.00,
21.75,623.00,-1023973.18,
21.75,626.00,-1543356.00,
22.50,627.00,-1545821.50,
23.25,627.00,-772910.81,
23.25,619.00,-1526098.12,
23.25,628.00,-1548286.87,
23.25,629.00,-775376.25,
23.25,630.00,-1553217.75,
25.50,622.00,-1022329.62,
30.00,633.00,-780307.06,
30.75,635.00,-1565544.87,
30.75,637.00,-1046983.87,
30.75,638.00,-786470.62,
30.75,641.00,-1580337.37,
30.75,642.00,-1055201.87,
30.75,644.00,-1587733.75,
30.75,639.00,-1575406.62,
30.75,647.00,-1063420.00,
30.75,648.00,-1597595.37,
30.75,650.00,-1068350.87,
30.75,636.00,-1045340.25,
30.75,653.00,-1609922.50,
30.75,654.00,-1074925.37,
30.75,655.00,-1614853.37,
30.00,656.00,-1617318.75,
30.00,657.00,-1079856.12,
29.25,658.00,-1622249.62,
27.00,658.00,-1081499.75,
21.75,663.00,-1089717.87,
18.75,656.00,-1617318.75,
18.75,656.00,-1078212.62,
18.75,655.00,-1614853.37,
18.75,640.00,-1577872.00,
18.75,654.00,-1074925.37,
18.75,654.00,-1612388.00,
19.50,653.00,-1609922.50,
19.50,653.00,-1073281.75,
19.50,652.00,-1607457.12,
19.50,652.00,-1071638.12,
19.50,651.00,-1069994.50,
19.50,638.00,-1572941.12,
19.50,651.00,-1069994.50,
18.75,650.00,-1068350.87,
18.75,650.00,-1602526.25,
18.75,659.00,-1083143.37,
18.75,649.00,-1600060.87,
18.75,648.00,-1597595.37,
18.75,648.00,-1065063.62,
18.00,647.00,-1595130.00,
18.00,646.00,-1061776.37,
18.00,646.00,-1061776.37,
18.00,646.00,-1592664.50,
17.25,640.00,-1051914.75,
17.25,644.00,-1587733.75,
15.00,642.00,-1582802.87,
9.00,640.00,-1051914.75,
6.75,637.00,-1570475.75,
6.75,635.00,-1565544.87,
6.75,634.00,-781539.81,
6.75,632.00,-1558148.62,
6.75,630.00,-1553217.75,
6.75,627.00,-772910.81,
7.50,626.00,-1028904.06,
7.50,624.00,-1538425.25,
7.50,623.00,-767979.93,
7.50,620.00,-1019042.37,
8.25,619.00,-1526098.12,
8.25,618.00,-761816.37,
12.00,603.00,-991100.87,
16.50,617.00,-1521167.25,
17.25,617.00,-1014111.50,
17.25,617.00,-1014111.50,
17.25,617.00,-1521167.25,
17.25,617.00,-1014111.50,
17.25,616.00,-1518701.75,
18.00,616.00,-1518701.75,
18.00,614.00,-1009180.68,
21.00,618.00,-1523632.62,
23.25,618.00,-1523632.62,
23.25,618.00,-1015755.12,
23.25,610.00,-1503909.25,
23.25,620.00,-1019042.37,
23.25,620.00,-1528563.50,
23.25,621.00,-1531028.87,
23.25,615.00,-1010824.25,
24.00,623.00,-1535959.75,
24.00,623.00,-1535959.75,
24.75,624.00,-1025616.81,
26.25,625.00,-1540890.62,
27.00,626.00,-1028904.06,
27.00,627.00,-1030547.68,
27.00,629.00,-1550752.37,
27.75,640.00,-1051914.75,
29.25,632.00,-1558148.62,
30.75,633.00,-1560614.00,
30.75,635.00,-1043696.62,
30.75,621.00,-1531028.87,
30.75,638.00,-1048627.50,
30.75,640.00,-1051914.75,
30.75,641.00,-1580337.37,
30.75,642.00,-1055201.87,
30.75,644.00,-1587733.75,
30.75,645.00,-1590199.12,
30.75,646.00,-1061776.37,
30.75,639.00,-1575406.62,
30.75,649.00,-1066707.25,
30.75,651.00,-1069994.50,
30.75,652.00,-1607457.12,
30.75,655.00,-1076569.00,
30.75,655.00,-1614853.37,
30.75,656.00,-1617318.75,
30.75,657.00,-1079856.12,
30.75,659.00,-1624715.12,
30.75,659.00,-812357.62,
30.75,660.00,-1084787.00,
30.00,662.00,-1632111.37,
30.00,672.00,-828382.87,
29.25,664.00,-1091361.50,
29.25,665.00,-1639507.62,
28.50,664.00,-818521.18,
25.50,649.00,-1066707.25,
19.50,663.00,-1634576.75,
17.25,662.00,-816055.75,
18.00,661.00,-1086430.62,
17.25,660.00,-1627180.50,
17.25,659.00,-1083143.37,
18.00,658.00,-1622249.62,
17.25,657.00,-1619784.25,
17.25,657.00,-1079856.12,
18.00,656.00,-1617318.75,
18.00,656.00,-1078212.62,
18.00,655.00,-1076569.00,
18.00,639.00,-1575406.62,
